model	CMS_PDX	CMS_PDO
CRC0030	CMS2	CMS2
CRC0031	NA	CMS1
CRC0051	CMS3	CMS4
CRC0066	NA	CMS4
CRC0076	NA	NA
CRC0080	CMS2	CMS4
CRC0081	CMS4	CMS4
CRC0095	CMS4	CMS4
CRC0097	CMS2	NA
CRC0099	NA	CMS2
CRC0103	CMS2	CMS2
CRC0125	CMS1	CMS1
CRC0148	CMS1	CMS1
CRC0150	CMS1	CMS1
CRC0151	NA	NA
CRC0152	CMS4	NA
CRC0161	CMS4	CMS1
CRC0166	CMS4	CMS2
CRC0171	CMS3	CMS3
CRC0188	CMS2	NA
CRC0196	CMS1	NA
CRC0254	CMS2	CMS3
CRC0322	NA	NA
CRC0355	CMS1	CMS1
CRC0370	NA	CMS4
CRC0399	CMS3	NA
CRC0404	CMS2	CMS2
CRC0475	NA	NA
CRC0515	CMS4	CMS4
CRC0534	NA	NA
CRC0542	NA	NA
CRC0572	CMS4	NA
CRC0743	NA	NA
CRC1078	NA	NA
CRC1090	NA	CMS4
CRC1139	CMS1	CMS1
CRC1241	CMS4	CMS4
CRC1278	CMS2	NA
CRC1306	CMS2	CMS2
CRC1307	NA	NA
CRC1321	NA	CMS4
CRC1359	CMS4	CMS3
CRC1360	NA	NA
CRC1367	CMS2	CMS4
CRC1390	CMS3	CMS4
CRC1430	CMS4	NA
CRC1445	CMS1	CMS1
CRC1449	CMS4	NA
CRC1472	NA	CMS4
CRC1502	CMS3	CMS3
CRC1568	NA	NA
CRC1588	NA	NA
CRC1598	CMS3	NA
CRC1599	CMS2	CMS2
CRC1614	CMS1	CMS1
CRC1629	NA	CMS3
CRC1675	CMS3	CMS3
CRC1723	NA	NA
CRC1729	CMS3	CMS3
CRC1745	NA	NA
CRC1757	CMS1	CMS1
CRC1774	NA	CMS2
CRC1900	CMS2	CMS2
CRC1917	NA	NA
CRC1961	NA	NA
CRC1979	NA	NA
CRC1989	NA	CMS3
