model	CRIS_PDX	CRIS_PDO
CRC0030	CRIS-D	CRIS-E
CRC0031	CRIS-E	CRIS-E
CRC0051	CRIS-A	CRIS-D
CRC0066	CRIS-C	CRIS-D
CRC0076	CRIS-C	CRIS-A
CRC0080	CRIS-B	CRIS-D
CRC0081	CRIS-D	CRIS-D
CRC0095	CRIS-D	CRIS-D
CRC0097	CRIS-C	CRIS-C
CRC0099	CRIS-C	CRIS-C
CRC0123	CRIS-A	CRIS-A
CRC0124	CRIS-C	CRIS-C
CRC0125	CRIS-A	CRIS-B
CRC0148	CRIS-E	CRIS-E
CRC0150	CRIS-B	CRIS-B
CRC0151	CRIS-E	CRIS-C
CRC0161	CRIS-B	CRIS-B
CRC0171	CRIS-A	CRIS-A
CRC0188	CRIS-E	CRIS-E
CRC0196	CRIS-A	CRIS-A
CRC0231	CRIS-A	CRIS-A
CRC0254	CRIS-D	CRIS-A
CRC0277	CRIS-A	CRIS-A
CRC0316	CRIS-C	CRIS-C
CRC0322	CRIS-C	CRIS-C
CRC0370	CRIS-C	CRIS-D
CRC0399	CRIS-A	CRIS-E
CRC0404	CRIS-C	CRIS-C
CRC0464	CRIS-D	CRIS-D
CRC0475	CRIS-B	CRIS-C
CRC0515	CRIS-C	CRIS-E
CRC0534	CRIS-C	CRIS-B
CRC0572	CRIS-D	CRIS-E
CRC0772	CRIS-C	CRIS-C
CRC1078	CRIS-E	CRIS-E
CRC1090	CRIS-A	CRIS-B
CRC1139	CRIS-E	CRIS-A
CRC1241	CRIS-B	CRIS-B
CRC1272	CRIS-C	CRIS-C
CRC1278	CRIS-C	CRIS-C
CRC1306	CRIS-C	CRIS-C
CRC1307	CRIS-E	CRIS-E
CRC1321	CRIS-D	CRIS-D
CRC1360	CRIS-C	CRIS-E
CRC1367	CRIS-D	CRIS-D
CRC1390	CRIS-A	CRIS-B
CRC1430	CRIS-D	CRIS-C
CRC1445	CRIS-B	CRIS-A
CRC1449	CRIS-D	CRIS-C
CRC1472	CRIS-E	CRIS-E
CRC1502	CRIS-A	CRIS-A
CRC1523	CRIS-E	CRIS-E
CRC1568	CRIS-E	CRIS-E
CRC1588	CRIS-E	CRIS-E
CRC1598	CRIS-A	CRIS-A
CRC1599	CRIS-C	CRIS-C
CRC1614	CRIS-B	CRIS-B
CRC1675	CRIS-A	CRIS-A
CRC1723	CRIS-C	CRIS-C
CRC1729	CRIS-A	CRIS-A
CRC1757	CRIS-B	CRIS-A
CRC1774	CRIS-C	CRIS-C
CRC1900	CRIS-D	CRIS-D
CRC1917	CRIS-C	CRIS-C
CRC1961	CRIS-A	CRIS-A
CRC1979	CRIS-E	CRIS-E
CRC1989	CRIS-C	CRIS-A
